# packages in environment at /Users/lo/projects/freecad/FreeCAD-Bundle/conda/osx-arm64/APP/FreeCAD.app/Contents/Resources:
#
# Name                    Version                   Build  Channel
matplotlib-base           3.5.2           py310hbeb1b0d_0    conda-forge
mpc                       1.2.1                h309154c_0    conda-forge
mpfr                      4.1.0                h6d7a090_1    conda-forge
mpmath                    1.2.1              pyhd8ed1ab_0    conda-forge
munkres                   1.1.4              pyh9f0ad1d_0    conda-forge
mysql-common              8.0.29               haa90c7b_1    conda-forge
mysql-libs                8.0.29               h0a1dba2_1    conda-forge
ncurses                   6.3                  h07bb92c_1    conda-forge
nettle                    3.8                  h63371fa_0    conda-forge
nine                      1.1.0                      py_0    conda-forge
nspr                      4.32                 hbdafb3b_1    conda-forge
nss                       3.78                 h1483a63_0    conda-forge
numpy                     1.23.0          py310h0a343b5_0    conda-forge
occt                      7.6.2                h50fddab_3    conda-forge
olefile                   0.46               pyh9f0ad1d_1    conda-forge
openblas                  0.3.20          openmp_h745f6c2_0    conda-forge
opencv                    4.5.5           py310hb6292c7_13    conda-forge
openexr                   3.1.5                h264c651_0    conda-forge
openh264                  2.2.0                h332123e_1    conda-forge
openjpeg                  2.4.0                h062765e_1    conda-forge
openssl                   1.1.1q               ha287fd2_0    conda-forge
p11-kit                   0.24.1               h29577a5_0    conda-forge
packaging                 21.3               pyhd8ed1ab_0    conda-forge
pandas                    1.4.3           py310ha6a5cd6_0    conda-forge
pango                     1.50.8               h9e48c26_0    conda-forge
pcl                       1.12.1               hc071194_0    conda-forge
pcre                      8.45                 hbdafb3b_0    conda-forge
pillow                    9.2.0           py310hc9df86f_0    conda-forge
pip                       22.1.2             pyhd8ed1ab_0    conda-forge
pivy                      0.6.7           py310haf689d7_2    freecad/label/dev
pixman                    0.40.0               h27ca646_0    conda-forge
ply                       3.11                       py_1    conda-forge
proj                      9.0.1                h4c79c2b_1    conda-forge
pthread-stubs             0.4               h27ca646_1001    conda-forge
pugixml                   1.11.4               hbdafb3b_0    conda-forge
py-opencv                 4.5.5           py310h69fb684_13    conda-forge
pycollada                 0.7.2              pyhd8ed1ab_0    conda-forge
pycparser                 2.21               pyhd8ed1ab_0    conda-forge
pyopenssl                 22.0.0             pyhd8ed1ab_0    conda-forge
pyparsing                 3.0.9              pyhd8ed1ab_0    conda-forge
pyside2                   5.15.5          py310h51294d2_1    freecad/label/dev
pysocks                   1.7.1           py310hbe9552e_5    conda-forge
python                    3.10.5          h71ab1a4_0_cpython    conda-forge
python-dateutil           2.8.2              pyhd8ed1ab_0    conda-forge
python_abi                3.10                    2_cp310    conda-forge
pytz                      2022.1             pyhd8ed1ab_0    conda-forge
pyyaml                    6.0             py310hf8d0d8f_4    conda-forge
qhull                     2020.2               hc021e02_2    conda-forge
qt                        5.15.4               ha7486b3_0    conda-forge
qt-main                   5.15.4               haf604a7_2    conda-forge
qt-webengine              5.15.4               h43c6231_3    conda-forge
qt.py                     1.2.2                      py_0    conda-forge
rapidjson                 1.1.0             hc88da5d_1002    conda-forge
readline                  8.1.2                h46ed386_0    conda-forge
requests                  2.28.1             pyhd8ed1ab_0    conda-forge
scipy                     1.8.1           py310hdb41229_0    conda-forge
setuptools                63.1.0          py310hbe9552e_0    conda-forge
six                       1.16.0             pyh6c4a22f_0    conda-forge
smesh                     9.8.0.2              h30d25c9_1    freecad/label/dev
smmap                     3.0.5              pyh44b312d_0    conda-forge
soqt                      1.6.0                hf86a087_3    conda-forge
sqlite                    3.39.0               h40dfcc0_0    conda-forge
svt-av1                   1.1.0                hbe31e94_1    conda-forge
sympy                     1.10.1          py310hbe9552e_0    conda-forge
tbb                       2021.5.0             h3e96240_1    conda-forge
tbb-devel                 2021.5.0             h3e96240_1    conda-forge
tk                        8.6.12               he1e0b03_0    conda-forge
typing_extensions         4.3.0              pyha770c72_0    conda-forge
tzdata                    2022a                h191b570_0    conda-forge
unicodedata2              14.0.0          py310hf8d0d8f_1    conda-forge
urllib3                   1.26.10            pyhd8ed1ab_0    conda-forge
utfcpp                    3.2.1                hce30654_0    conda-forge
vtk                       9.1.0           qt_py310h5ad20fb_210    conda-forge
wheel                     0.37.1             pyhd8ed1ab_0    conda-forge
x264                      1!161.3030           h3422bc3_1    conda-forge
x265                      3.5                  hbc6ce65_3    conda-forge
xerces-c                  3.2.3                h1b0b642_5    conda-forge
xlrd                      2.0.1              pyhd8ed1ab_3    conda-forge
xlutils                   2.0.0                      py_0    freecad/label/dev
xlwt                      1.3.0                      py_1    conda-forge
xorg-fixesproto           5.0               h3422bc3_1002    conda-forge
xorg-kbproto              1.0.7             h27ca646_1002    conda-forge
xorg-libice               1.0.10               h27ca646_0    conda-forge
xorg-libsm                1.2.3             h27ca646_1000    conda-forge
xorg-libx11               1.7.2                h3422bc3_0    conda-forge
xorg-libxau               1.0.9                h27ca646_0    conda-forge
xorg-libxdmcp             1.1.3                h27ca646_0    conda-forge
xorg-libxext              1.3.4                h27ca646_1    conda-forge
xorg-libxfixes            5.0.3             h3422bc3_1004    conda-forge
xorg-libxrender           0.9.10            h27ca646_1003    conda-forge
xorg-renderproto          0.11.1            h27ca646_1002    conda-forge
xorg-xextproto            7.3.0             h27ca646_1002    conda-forge
xorg-xproto               7.0.31            h27ca646_1007    conda-forge
xz                        5.2.5                h642e427_1    conda-forge
yaml                      0.2.5                h3422bc3_2    conda-forge
zlib                      1.2.12               ha287fd2_1    conda-forge
zstd                      1.5.2                hd705a24_2    conda-forge
